driver_id,total_fare,avg_distance
51,52.8,18.43
15,185.55,27.655
54,76.91,30.755000000000003
69,93.28,32.84
87,123.88,2.56
30,80.76,40.74
34,143.36,35.205
28,101.78,8.21
85,168.14,12.93
35,76.22,20.0
16,10.85,2.53
71,120.49,43.28
31,61.56,46.18
18,265.18,9.120000000000001
17,26.88,46.85
78,24.72,28.97
68,102.64,45.41
19,88.04,2.04
41,106.92,36.08
93,43.22,17.11
86,89.56,6.1
81,103.91,41.11
97,120.06,24.8
24,113.73,22.42
1,113.04,22.03
56,209.79000000000002,40.435
37,93.16,28.32
94,139.53,37.42
80,252.57999999999998,22.115000000000002
