driver_id,total_fare,avg_distance
51,112.9,24.455
15,185.55,27.655
54,76.91,30.755000000000003
69,93.28,32.84
87,123.88,2.56
64,84.87,41.52
30,80.76,40.74
34,143.36,35.205
59,29.67,47.92
28,101.78,8.21
85,168.14,12.93
35,76.22,20.0
16,10.85,2.53
71,120.49,43.28
31,61.56,46.18
18,265.18,9.120000000000001
75,138.95,46.46
17,26.88,46.85
26,50.71,43.72
46,47.58,35.14
78,24.72,28.97
68,102.64,45.41
19,88.04,2.04
41,106.92,36.08
93,43.22,17.11
25,15.26,30.28
86,89.56,6.1
81,226.69,30.625
97,120.06,24.8
67,160.5,28.625
79,95.59,10.54
24,113.73,22.42
9,169.07,9.225000000000001
1,113.04,22.03
56,209.79000000000002,40.435
10,126.99,40.48
37,93.16,28.32
63,140.93,12.64
12,6.84,14.71
94,139.53,37.42
76,96.18,16.695
80,252.57999999999998,22.115000000000002
45,45.62,11.27
57,119.09,8.45
